name,zID,email,password,role
name6119988,6119988,z6119988@unsw.net,pass6890,trainee
name6119989,6119989,z6119989@unsw.net,pass28383,trainee
name6119990,6119990,z6119990@unsw.net,pass3474,trainee
name6119991,6119991,z6119991@unsw.net,pass7630,trainee
name6119992,6119992,z6119992@unsw.net,pass17116,trainee
name6119993,6119993,z6119993@unsw.net,pass32573,trainee
name6119994,6119994,z6119994@unsw.net,pass24064,trainee
name6119995,6119995,z6119995@unsw.net,pass17756,trainee
name6119996,6119996,z6119996@unsw.net,pass17077,trainee
name6119997,6119997,z6119997@unsw.net,pass27204,trainee
name6119998,6119998,z6119998@unsw.net,pass14774,trainee
name6119999,6119999,z6119999@unsw.net,pass18234,trainee
name4119988,4119988,z4119988@unsw.net,pass10950,trainer
name4119989,4119989,z4119989@unsw.net,pass9588,trainer
name4119990,4119990,z4119990@unsw.net,pass9132,trainer
name4119991,4119991,z4119991@unsw.net,pass29938,trainer
name4119992,4119992,z4119992@unsw.net,pass11829,trainer
name4119993,4119993,z4119993@unsw.net,pass15608,trainer
name4119994,4119994,z4119994@unsw.net,pass9823,trainer
name4119995,4119995,z4119995@unsw.net,pass20316,trainer
name4119996,4119996,z4119996@unsw.net,pass4522,trainer
name4119997,4119997,z4119997@unsw.net,pass29249,trainer
name4119998,4119998,z4119998@unsw.net,pass12718,trainer
name4119999,4119999,z4119999@unsw.net,pass30778,trainer
